incident,category,emergency
dumped waste near office buildings,Illegal_Dumping,False
illegal dumping causing water blockage,Illegal_Dumping,False
trash dumped near footpath,Illegal_Dumping,False
garbage dumped near slum area,Illegal_Dumping,False
illegal dumping by contractors,Illegal_Dumping,False
construction debris dumped near river,Illegal_Dumping,False
garbage dumped near highway exit,Illegal_Dumping,False
dumped waste attracting stray animals,Illegal_Dumping,False
illegal dumping in vacant area,Illegal_Dumping,False
trash dumped near bus depot,Illegal_Dumping,False
garbage dumped near residential road,Illegal_Dumping,False
illegal dumping reported repeatedly,Illegal_Dumping,False
construction waste dumped on open land,Illegal_Dumping,False
garbage dumped behind shops,Illegal_Dumping,False
illegal dumping creating unhygienic conditions,Illegal_Dumping,False
trash dumped near industrial area,Illegal_Dumping,False
garbage dumped without municipal approval,Illegal_Dumping,False
illegal dumping near water pipeline,Illegal_Dumping,False
construction debris dumped in open ground,Illegal_Dumping,False
garbage dumped near school boundary,Illegal_Dumping,False
illegal dumping affecting public health,Illegal_Dumping,False
dumped waste left unattended,Illegal_Dumping,False
illegal dumping causing mosquito breeding,Illegal_Dumping,False

factory emissions polluting air,Environmental_Damage,False
industrial waste contaminating water,Environmental_Damage,False
deforestation impacting wildlife,Environmental_Damage,False
chemical runoff polluting river,Environmental_Damage,False
oil leakage contaminating soil,Environmental_Damage,False
toxic gases released from factory,Environmental_Damage,False
industrial pollution damaging ecosystem,Environmental_Damage,False
noise pollution affecting nearby areas,Environmental_Damage,False
environmental degradation reported,Environmental_Damage,False
habitat destruction due to construction,Environmental_Damage,False
illegal dumping harming wildlife,Environmental_Damage,False
pollution destroying natural balance,Environmental_Damage,False
ecosystem damage observed,Environmental_Damage,False
environmental harm due to dumping,Environmental_Damage,False
severe environmental damage reported,Environmental_Damage,False
factory waste harming environment,Environmental_Damage,False
industrial discharge damaging river,Environmental_Damage,False
toxic chemicals affecting soil quality,Environmental_Damage,False
environmental damage due to mining,Environmental_Damage,False
ecosystem disturbed by construction,Environmental_Damage,False
industrial activities harming biodiversity,Environmental_Damage,False
chemical spill damaging farmland,Environmental_Damage,False
environmental damage near industrial area,Environmental_Damage,False
toxic waste destroying vegetation,Environmental_Damage,False
industrial smoke harming ecosystem,Environmental_Damage,False
habitat loss due to road construction,Environmental_Damage,False
environmental damage caused by dumping waste,Environmental_Damage,False
pollution affecting flora and fauna,Environmental_Damage,False
oil spill damaging nearby land,Environmental_Damage,False
industrial pollution impacting wildlife,Environmental_Damage,False
environmental damage from factory runoff,Environmental_Damage,False
toxic gas leak damaging environment,Environmental_Damage,False
ecosystem imbalance reported,Environmental_Damage,False
construction debris damaging environment,Environmental_Damage,False
illegal waste disposal harming land,Environmental_Damage,False
environmental damage due to deforestation,Environmental_Damage,False
industrial contamination affecting groundwater,Environmental_Damage,False
chemical waste damaging river ecosystem,Environmental_Damage,False
environmental harm due to industrial smoke,Environmental_Damage,False
toxic residue affecting soil fertility,Environmental_Damage,False
ecosystem destruction near construction site,Environmental_Damage,False
environmental damage due to oil spill,Environmental_Damage,False
industrial pollution degrading environment,Environmental_Damage,False
habitat destroyed by illegal dumping,Environmental_Damage,False
environmental damage affecting wildlife sanctuary,Environmental_Damage,False
chemical runoff damaging aquatic life,Environmental_Damage,False
environmental degradation due to human activity,Environmental_Damage,False
industrial waste affecting ecosystem balance,Environmental_Damage,False
toxic effluents damaging river bank,Environmental_Damage,False
environmental harm reported near factory,Environmental_Damage,False
ecosystem affected by waste dumping,Environmental_Damage,False
environmental damage from industrial leakage,Environmental_Damage,False
chemical contamination damaging environment,Environmental_Damage,False
industrial activity causing environmental loss,Environmental_Damage,False
habitat damage due to land clearing,Environmental_Damage,False
environmental harm due to chemical dumping,Environmental_Damage,False
toxic substances damaging natural habitat,Environmental_Damage,False
environmental damage observed near river,Environmental_Damage,False
industrial waste degrading soil quality,Environmental_Damage,False
ecosystem destruction due to pollution,Environmental_Damage,False
environmental damage caused by industrial spill,Environmental_Damage,False
habitat destruction affecting biodiversity,Environmental_Damage,False
environmental harm due to oil leakage,Environmental_Damage,False
toxic chemicals damaging environment,Environmental_Damage,False
industrial pollution causing ecosystem collapse,Environmental_Damage,False
environmental degradation affecting local area,Environmental_Damage,False
chemical waste harming natural resources,Environmental_Damage,False
ecosystem damage from industrial discharge,Environmental_Damage,False
environmental damage due to toxic emissions,Environmental_Damage,False
habitat loss reported near industrial zone,Environmental_Damage,False
environmental harm due to waste discharge,Environmental_Damage,False
toxic contamination damaging ecosystem,Environmental_Damage,False
industrial waste causing environmental destruction,Environmental_Damage,False
environmental damage affecting natural resources,Environmental_Damage,False
chemical spill harming environment,Environmental_Damage,False
ecosystem imbalance due to pollution,Environmental_Damage,False
environmental harm reported due to factory waste,Environmental_Damage,False
toxic runoff damaging environment,Environmental_Damage,False
industrial pollution destroying habitats,Environmental_Damage,False
environmental damage impacting biodiversity,Environmental_Damage,False
chemical effluents damaging land,Environmental_Damage,False
ecosystem damage due to industrial pollution,Environmental_Damage,False
environmental harm from illegal dumping,Environmental_Damage,False
toxic industrial waste damaging ecosystem,Environmental_Damage,False
environmental destruction reported,Environmental_Damage,False

trees being cut without permission,Deforestation,False
illegal tree cutting near village,Deforestation,False
forest area cleared unlawfully,Deforestation,False
unauthorized logging activity reported,Deforestation,False
trees felled in protected area,Deforestation,False
ped kaat rahe hai bina permission,Deforestation,False
green belt destroyed for construction,Deforestation,False
trees chopped near highway,Deforestation,False
illegal removal of forest trees,Deforestation,False
forest land encroachment reported,Deforestation,False
tree cutting near residential area,Deforestation,False
trees removed overnight illegally,Deforestation,False
forest destruction complaint filed,Deforestation,False
illegal deforestation near city,Deforestation,False
tree cutting harming environment,Deforestation,False
trees cut down for road widening,Deforestation,False
forest trees cut illegally at night,Deforestation,False
unauthorized clearing of forest land,Deforestation,False
trees being cut near river bank,Deforestation,False
illegal wood cutting reported,Deforestation,False
forest cover reduced due to logging,Deforestation,False
ped kaatne ka kaam chal raha hai,Deforestation,False
trees cut without forest approval,Deforestation,False
forest area damaged by contractors,Deforestation,False
trees removed for illegal construction,Deforestation,False
deforestation happening near village,Deforestation,False
forest land illegally occupied,Deforestation,False
trees chopped inside reserve forest,Deforestation,False
illegal felling of old trees,Deforestation,False
forest trees destroyed for mining,Deforestation,False
green area cleared without notice,Deforestation,False
trees being cut in large numbers,Deforestation,False
forest damage due to illegal logging,Deforestation,False
ped kaat kar lakdi le ja rahe hai,Deforestation,False
trees felled near school area,Deforestation,False
unauthorized tree cutting reported,Deforestation,False
forest land cleared for shops,Deforestation,False
trees destroyed in forest patch,Deforestation,False
illegal cutting of roadside trees,Deforestation,False
forest trees removed by builders,Deforestation,False
deforestation near protected zone,Deforestation,False
trees cut for illegal road,Deforestation,False
forest area reduced rapidly,Deforestation,False
illegal tree cutting by contractors,Deforestation,False
ped bina ijazat kaat rahe hain,Deforestation,False
trees removed near wildlife area,Deforestation,False
forest land damaged by encroachers,Deforestation,False
trees chopped near railway line,Deforestation,False
illegal clearing of green cover,Deforestation,False
forest destruction due to development,Deforestation,False
trees cut near water body,Deforestation,False
unauthorized forest clearance work,Deforestation,False
forest trees destroyed at night,Deforestation,False
ped kaatne se jungle khatam ho raha hai,Deforestation,False
trees removed for private project,Deforestation,False
illegal logging inside forest,Deforestation,False
forest area damaged by road work,Deforestation,False
trees cut down without approval,Deforestation,False
forest cover loss reported,Deforestation,False
unauthorized tree cutting in city,Deforestation,False
trees removed near temple land,Deforestation,False
illegal forest clearance complaint,Deforestation,False
forest land being destroyed,Deforestation,False
trees chopped for commercial use,Deforestation,False
illegal tree cutting affecting wildlife,Deforestation,False
forest area cleared for housing,Deforestation,False
trees felled without environmental clearance,Deforestation,False
forest destruction ongoing,Deforestation,False
ped kaat rahe hain jungle mein,Deforestation,False
trees removed near agricultural land,Deforestation,False
illegal logging affecting ecosystem,Deforestation,False
forest area illegally cleared,Deforestation,False
trees destroyed by construction mafia,Deforestation,False
unauthorized cutting of green belt,Deforestation,False
forest trees cut near border area,Deforestation,False
trees being cut despite ban,Deforestation,False
illegal deforestation harming nature,Deforestation,False
forest area damaged beyond repair,Deforestation,False
trees removed without replantation,Deforestation,False
forest destruction affecting wildlife,Deforestation,False
illegal tree cutting not stopped,Deforestation,False

air pollution due to garbage burning,Pollution,False
smoke coming from nearby factory,Pollution,False
factory fumes affecting residents,Pollution,False
bad smell and polluted air,Pollution,False
industrial smoke causing breathing issues,Pollution,False
chemical waste polluting water,Pollution,False
polluted drinking water supplied,Pollution,False
toxic smoke affecting locality,Pollution,False
pollution level very high today,Pollution,False
garbage burning causing smoke,Pollution,False
water pollution due to sewage,Pollution,False
polluted river water reported,Pollution,False
chemical smell in residential area,Pollution,False
pollution affecting public health,Pollution,False
industrial emissions causing pollution,Pollution,False
open garbage burning polluting air,Pollution,False
thick smoke in residential area,Pollution,False
factory smoke visible every morning,Pollution,False
air quality very poor today,Pollution,False
toxic fumes released at night,Pollution,False
industrial waste dumped in river,Pollution,False
sewage mixed with drinking water,Pollution,False
bad odor due to pollution,Pollution,False
polluted lake water causing sickness,Pollution,False
chemical waste leakage reported,Pollution,False
pollution causing eye irritation,Pollution,False
air filled with smoke and dust,Pollution,False
factory releasing black smoke,Pollution,False
contaminated water supply issue,Pollution,False
pollution due to plastic burning,Pollution,False
smell of chemicals in air,Pollution,False
industrial pollution increasing daily,Pollution,False
toxic gases affecting children,Pollution,False
polluted groundwater complaint,Pollution,False
air pollution worsening at night,Pollution,False
garbage dump causing foul smell,Pollution,False
factory waste affecting environment,Pollution,False
polluted water causing skin issues,Pollution,False
thick smog near industrial area,Pollution,False
pollution due to untreated sewage,Pollution,False
chemical fumes near houses,Pollution,False
air pollution from nearby plant,Pollution,False
waste burning causing breathing problem,Pollution,False
polluted canal water reported,Pollution,False
toxic smell spreading in area,Pollution,False
industrial smoke entering homes,Pollution,False
pollution harming local residents,Pollution,False
air quality hazardous today,Pollution,False
factory discharge polluting river,Pollution,False
chemical waste dumped openly,Pollution,False
smoke due to garbage fire,Pollution,False
polluted water supplied to homes,Pollution,False
air pollution due to vehicle smoke,Pollution,False
industrial pollution not controlled,Pollution,False
toxic air causing cough,Pollution,False
chemical odor unbearable,Pollution,False
pollution affecting elderly people,Pollution,False
black smoke from factory chimney,Pollution,False
polluted water causing stomach issues,Pollution,False
air pollution crossing safe limits,Pollution,False
wastewater released into river,Pollution,False
toxic gas leak reported,Pollution,False
pollution from burning plastic waste,Pollution,False
chemical pollution near factory,Pollution,False
air pollution causing asthma issues,Pollution,False
polluted pond water complaint,Pollution,False
smoke and dust everywhere,Pollution,False
industrial pollution affecting crops,Pollution,False
chemical smell during night,Pollution,False
air pollution not monitored,Pollution,False
polluted water near residential area,Pollution,False
toxic fumes causing headache,Pollution,False
factory pollution affecting nearby school,Pollution,False
air pollution due to open dumping,Pollution,False
chemical waste harming environment,Pollution,False
pollution level extremely dangerous,Pollution,False
smoke filled streets due to burning waste,Pollution,False
polluted river harming aquatic life,Pollution,False
industrial smoke continuous issue,Pollution,False
air pollution causing throat irritation,Pollution,False
contaminated water from pipeline,Pollution,False
toxic industrial discharge reported,Pollution,False
pollution complaint unresolved,Pollution,False

potholes causing traffic problems,Infrastructure,False
road broken for months without repair,Infrastructure,False
street lights not working,Infrastructure,False
footpath damaged and unsafe,Infrastructure,False
public road neglected by authorities,Infrastructure,False
sadak toot gayi hai,Infrastructure,False
collapsed pavement near bus stop,Infrastructure,False
damaged road causing accidents,Infrastructure,False
street light complaint unresolved,Infrastructure,False
road repair work pending,Infrastructure,False
poor road condition reported,Infrastructure,False
broken footpath creating hazard,Infrastructure,False
road maintenance ignored,Infrastructure,False
street lights off for weeks,Infrastructure,False
damaged public infrastructure reported,Infrastructure,False
huge pothole near school gate,Infrastructure,False
road full of cracks and holes,Infrastructure,False
street light pole fallen on road,Infrastructure,False
footpath tiles broken badly,Infrastructure,False
main road in very poor condition,Infrastructure,False
sadak par gaddhe hi gaddhe hain,Infrastructure,False
road caving in after rain,Infrastructure,False
street lights flickering at night,Infrastructure,False
footpath blocked due to damage,Infrastructure,False
bridge approach road damaged,Infrastructure,False
no repair done on damaged road,Infrastructure,False
road surface completely uneven,Infrastructure,False
many street lights not functioning,Infrastructure,False
unsafe footpath for pedestrians,Infrastructure,False
highway road damaged badly,Infrastructure,False
sadak bahut kharab ho gayi hai,Infrastructure,False
road full of water-filled potholes,Infrastructure,False
street lights missing in area,Infrastructure,False
footpath cracked near hospital,Infrastructure,False
public road left unattended,Infrastructure,False
road damaged due to heavy vehicles,Infrastructure,False
street light wires exposed,Infrastructure,False
broken footpath near market,Infrastructure,False
road sinking near drain,Infrastructure,False
sadak ka kaam adhoora hai,Infrastructure,False
road condition worsening daily,Infrastructure,False
street lights not repaired yet,Infrastructure,False
footpath stones loose and risky,Infrastructure,False
road damaged after pipeline work,Infrastructure,False
long pending road maintenance,Infrastructure,False
street lights not turning on,Infrastructure,False
footpath unsafe for elderly,Infrastructure,False
road full of loose gravel,Infrastructure,False
sadak par chalna mushkil hai,Infrastructure,False
road edges broken dangerously,Infrastructure,False
street light poles rusted,Infrastructure,False
footpath damaged by tree roots,Infrastructure,False
road needs immediate repair,Infrastructure,False
many complaints about road damage,Infrastructure,False
street lights completely off,Infrastructure,False
footpath broken near bus stand,Infrastructure,False
road damaged during monsoon,Infrastructure,False
sadak par pani bhar jata hai,Infrastructure,False
road surface peeling off,Infrastructure,False
street lights missing bulbs,Infrastructure,False
footpath uneven and broken,Infrastructure,False
road neglected for years,Infrastructure,False
no proper road infrastructure,Infrastructure,False
street lights causing dark spots,Infrastructure,False
footpath collapsed after rain,Infrastructure,False
road damaged near railway crossing,Infrastructure,False
sadak ka halat bahut kharab hai,Infrastructure,False
road full of dust and potholes,Infrastructure,False
street lights not installed properly,Infrastructure,False
footpath damaged near school,Infrastructure,False
road infrastructure failing badly,Infrastructure,False
temporary road repair washed away,Infrastructure,False
street lights hanging dangerously,Infrastructure,False
footpath unsafe at night,Infrastructure,False
road damaged by construction work,Infrastructure,False
sadak par traffic jam lagta hai,Infrastructure,False
road cracks increasing daily,Infrastructure,False
street lights broken after storm,Infrastructure,False
footpath damaged near residential area,Infrastructure,False
road condition unsafe for vehicles,Infrastructure,False
no action taken on road complaints,Infrastructure,False
street lights not maintained,Infrastructure,False
footpath broken near crossing,Infrastructure,False
road infrastructure needs upgrade,Infrastructure,False

fire broke out in residential building,Fire,True
huge fire reported in market area,Fire,True
house caught fire late night,Fire,True
fire accident reported in factory,Fire,True
building on fire near main road,Fire,True
shop caught fire suddenly,Fire,True
fire spreading quickly in warehouse,Fire,True
gas cylinder explosion caused fire,Fire,True
fire incident reported in apartment,Fire,True
firefighters called to control fire,Fire,True
warehouse fire causing heavy smoke,Fire,True
fire broke out in parking area,Fire,True
car caught fire on highway,Fire,True
massive fire reported in shopping mall,Fire,True
fire in electrical transformer,Fire,True
forest fire spreading rapidly,Fire,True
fire reported in hospital building,Fire,True
fire accident in school laboratory,Fire,True
office building caught fire,Fire,True
fire incident reported in restaurant kitchen,Fire,True
aag lag gayi hai ghar me,Fire,True
market me bhayanak aag lag gayi,Fire,True
factory me aag lagne ki khabar,Fire,True
building me aag bhadak uthi,Fire,True
godown me tez aag lag gayi,Fire,True
cylinder blast se aag lag gayi,Fire,True
shop me aag lag gayi hai,Fire,True
hospital ke paas aag lag gayi,Fire,True
school building me aag lag gayi,Fire,True
ghar ke kitchen me aag lag gayi,Fire,True
fire reported in metro station area,Fire,True
fire spreading in industrial area,Fire,True
fire accident in chemical factory,Fire,True
truck caught fire on road,Fire,True
bus caught fire on highway,Fire,True
short circuit caused fire in building,Fire,True
fire incident near petrol pump,Fire,True
huge flames seen from building,Fire,True
fire emergency reported by residents,Fire,True
fire destroying nearby shops,Fire,True
fire in garbage dump area,Fire,True
fire broke out in residential colony,Fire,True
fire seen in electric pole,Fire,True
fire in construction site,Fire,True
fire accident reported near railway station,Fire,True
fire inside warehouse full of goods,Fire,True
fire in shopping complex basement,Fire,True
fire spreading through apartment floors,Fire,True
smoke and fire coming from building,Fire,True
residential house engulfed in flames,Fire,True
godown me bhayanak aag lagi hai,Fire,True
ghar me aag lagne se nuksaan hua,Fire,True
factory me tez aag bhadak gayi,Fire,True
market area me aag phail rahi hai,Fire,True
building se dhua nikal raha hai aur aag lagi hai,Fire,True
godown me cylinder se aag lag gayi,Fire,True
road ke paas gaadi me aag lag gayi,Fire,True
petrol pump ke paas aag lag gayi,Fire,True
ghar ke bahar khadi car me aag lag gayi,Fire,True
electric wire se aag lag gayi,Fire,True
fire reported in textile factory,Fire,True
fire in hotel kitchen area,Fire,True
warehouse filled with smoke and fire,Fire,True
fire broke out in storage building,Fire,True
fire in parking basement,Fire,True
industrial machine caught fire,Fire,True
fire incident reported near bus stand,Fire,True
fire destroying wooden houses,Fire,True
fire spreading in slum area,Fire,True
fire reported in cinema hall,Fire,True
aag lagne se pura ghar jal gaya,Fire,True
warehouse me bhayanak aag lag gayi,Fire,True
factory ke andar aag lag gayi,Fire,True
ghar ke chhat par aag lag gayi,Fire,True
market ke godown me aag lagi hai,Fire,True
fire in oil storage area,Fire,True
fire in chemical storage unit,Fire,True
massive flames seen from warehouse,Fire,True
fire incident causing panic in area,Fire,True
residents reporting fire emergency,Fire,True

waterlogging reported on main road,Flood,True
heavy rain caused flooding in area,Flood,True
streets filled with rain water,Flood,True
houses flooded after heavy rainfall,Flood,True
drain overflow causing flood,Flood,True
water entered residential houses,Flood,True
flood water blocking traffic,Flood,True
river water entered nearby villages,Flood,True
severe flooding reported in city,Flood,True
roads submerged in water,Flood,True
ghar me pani ghus gaya,Flood,True
sadak par pani bhar gaya,Flood,True
bahut tez barish se pani bhar gaya,Flood,True
nala overflow ho gaya hai,Flood,True
gali me ghutne tak pani bhar gaya,Flood,True
water logging near hospital,Flood,True
school area flooded after rain,Flood,True
basement filled with water,Flood,True
flood water damaging houses,Flood,True
cars stuck in flood water,Flood,True
bridge submerged due to flood,Flood,True
heavy rainfall flooded market,Flood,True
water blocking main highway,Flood,True
flood water entering shops,Flood,True
low lying areas flooded badly,Flood,True
water rising rapidly in streets,Flood,True
village roads submerged in water,Flood,True
flooding near railway station,Flood,True
drainage failure caused flood,Flood,True
water flooding parking area,Flood,True
nadi ka pani badh gaya,Flood,True
barish se pura area doob gaya,Flood,True
ghar ke andar pani bhar gaya,Flood,True
sadak par bahut pani bhar gaya,Flood,True
gali me pani jama ho gaya,Flood,True
water level increasing rapidly,Flood,True
heavy flood after continuous rain,Flood,True
storm water flooding houses,Flood,True
water entered underground parking,Flood,True
flood reported near bus stand,Flood,True
severe waterlogging in colony,Flood,True
roads flooded after monsoon rain,Flood,True
water flooding residential colony,Flood,True
overflowing drain causing flood,Flood,True
heavy rain causing water blockage,Flood,True
vehicles stuck due to flood water,Flood,True
river overflow causing flood,Flood,True
flood warning issued for area,Flood,True
rain water flooding streets,Flood,True
pani bharne se traffic jam,Flood,True
nala ka pani sadak par aa gaya,Flood,True
gali me pani hi pani hai,Flood,True
barish se ghar doob gaye,Flood,True
sadak pani me doob gayi,Flood,True
sewer overflow causing flood,Flood,True
water rising near houses,Flood,True
flooding in industrial area,Flood,True
water covering railway track,Flood,True
houses damaged by flood water,Flood,True
severe flood emergency reported,Flood,True
pani bharne se gadiyan phas gayi,Flood,True
barish se sadak doob gayi,Flood,True
gali me bahut pani jama hai,Flood,True
ghar ke bahar pani hi pani,Flood,True
flood water entering school,Flood,True
hospital entrance flooded,Flood,True
heavy rain flooded bus stand,Flood,True
roads blocked by flood water,Flood,True
rain water flooding market,Flood,True
waterlogging causing accidents,Flood,True
residents trapped due to flood,Flood,True
houses surrounded by flood water,Flood,True
severe flood damage reported,Flood,True
rain water filling streets,Flood,True
low areas flooded quickly,Flood,True
flood water damaging roads,Flood,True
heavy rain flood emergency,Flood,True
people stuck in flooded area,Flood,True
major flooding reported nearby,Flood,True

robbery reported in local shop,Crime,True
theft reported in residential area,Crime,True
bike stolen from parking,Crime,True
mobile phone snatched on road,Crime,True
burglary reported in house,Crime,True
armed robbery in bank,Crime,True
chain snatching incident reported,Crime,True
thief broke into house,Crime,True
wallet stolen in market,Crime,True
criminal activity reported nearby,Crime,True
ghar me chori ho gayi,Crime,True
bike chori ho gayi,Crime,True
mobile chhin liya gaya,Crime,True
market me chori ho gayi,Crime,True
chain snatching ka case hua,Crime,True
robbers attacked shop owner,Crime,True
criminals looted cash from store,Crime,True
house burglary reported at night,Crime,True
shop looted by criminals,Crime,True
robbery reported near bank,Crime,True
purse chori ho gaya,Crime,True
ghar me chor ghus gaye,Crime,True
sadak par mobile chhin gaya,Crime,True
market me loot ho gayi,Crime,True
bike parking se chori ho gayi,Crime,True
robbery reported in jewelry shop,Crime,True
criminals attacked passerby,Crime,True
thieves stole valuables from house,Crime,True
attempted robbery reported,Crime,True
gang robbery reported in area,Crime,True
robbery in ATM booth,Crime,True
thief caught stealing phone,Crime,True
crime incident reported in colony,Crime,True
robbers looted passengers in bus,Crime,True
criminals broke ATM machine,Crime,True
wallet snatched by biker,Crime,True
theft reported in office building,Crime,True
criminal attack reported on road,Crime,True
robbery near railway station,Crime,True
robbers threatened shopkeeper,Crime,True
bike theft reported outside mall,Crime,True
criminals stole cash from shop,Crime,True
house looted during night,Crime,True
snatching incident reported,Flood,True
robbers escaped after theft,Crime,True
thieves broke shop lock,Crime,True
loot reported in jewelry store,Crime,True
robbers attacked security guard,Crime,True
chain snatching near market,Crime,True
criminals broke house window,Crime,True
chor ghar me ghus aaye,Crime,True
mobile chori ho gaya,Crime,True
gadi chori ho gayi,Crime,True
sadak par loot ho gayi,Crime,True
market me chain snatching hui,Crime,True
robbery reported in supermarket,Crime,True
criminal activity in parking area,Crime,True
thieves stole laptop from office,Crime,True
robbers attacked traveler,Crime,True
crime reported near bus stand,Crime,True
theft reported in hostel,Flood,True
robbers stole jewelry from house,Crime,True
